ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-03-12,117.30927588347393,213.74146830380124,222.78031965764114,117.30927588347393,117.30927588347393,100.77320655873424,100.77320655873424,100.77320655873424,100.77320655873424,100.77320655873424,100.77320655873424,0.0,0.0,0.0,218.08248244220817
2025-03-13,114.7981120404447,210.9361983724871,219.76641417886714,114.7981120404447,114.7981120404447,100.64951578602133,100.64951578602133,100.64951578602133,100.64951578602133,100.64951578602133,100.64951578602133,0.0,0.0,0.0,215.44762782646603
2025-03-14,112.28694819741547,211.31867830555004,220.4126087594762,112.28694819741547,112.28694819741547,103.69776084078559,103.69776084078559,103.69776084078559,103.69776084078559,103.69776084078559,103.69776084078559,0.0,0.0,0.0,215.98470903820106
2025-03-15,109.77578435438626,-148.22046304597805,-139.05597041994494,109.70836400323913,109.84666465047724,-253.44118583232913,-253.44118583232913,-253.44118583232913,-253.44118583232913,-253.44118583232913,-253.44118583232913,0.0,0.0,0.0,-143.66540147794285
2025-03-16,107.26462051135702,-150.4414275341809,-141.58594781246802,107.01399716266849,107.4943705805089,-253.4411221592302,-253.4411221592302,-253.4411221592302,-253.4411221592302,-253.4411221592302,-253.4411221592302,0.0,0.0,0.0,-146.17650164787318
2025-03-17,104.7534566683278,200.70485603195277,209.24925490106742,104.25213964674526,105.19475802968638,100.27820485045218,100.27820485045218,100.27820485045218,100.27820485045218,100.27820485045218,100.27820485045218,0.0,0.0,0.0,205.03166151877997
2025-03-18,102.24229282529858,199.0532997172637,208.04212810560233,101.44220817003665,102.94603343078514,101.483619956807,101.483619956807,101.483619956807,101.483619956807,101.483619956807,101.483619956807,0.0,0.0,0.0,203.72591278210558
2025-03-19,99.73112898226937,196.09482236544795,205.23106256189246,98.59131551347674,100.73775593930712,100.77320655873531,100.77320655873531,100.77320655873531,100.77320655873531,100.77320655873531,100.77320655873531,0.0,0.0,0.0,200.50433554100468
2025-03-20,97.21996513924013,192.96277336958946,202.3864537049755,95.71287473724601,98.53725389227444,100.6495157858756,100.6495157858756,100.6495157858756,100.6495157858756,100.6495157858756,100.6495157858756,0.0,0.0,0.0,197.86948092511574
2025-03-21,94.70880129621091,193.32882280451574,203.6210117290677,92.84603950973303,96.37013658124886,103.69776084079221,103.69776084079221,103.69776084079221,103.69776084079221,103.69776084079221,103.69776084079221,0.0,0.0,0.0,198.4065621370031
2025-03-22,92.19763745318168,-166.63939631450205,-156.35974521849872,89.85452785877982,94.32623383229577,-253.44118583244062,-253.44118583244062,-253.44118583244062,-253.44118583244062,-253.44118583244062,-253.44118583244062,0.0,0.0,0.0,-161.24354837925893
2025-03-23,89.68647361015249,-169.3573874199137,-158.57733679954868,86.948160866283,92.2746819588362,-253.44112215879855,-253.44112215879855,-253.44112215879855,-253.44112215879855,-253.44112215879855,-253.44112215879855,0.0,0.0,0.0,-163.75464854864606
2025-03-24,87.17530976712325,181.69481965700427,192.6315936487193,83.92906721224513,90.22029748398955,100.27820485044082,100.27820485044082,100.27820485044082,100.27820485044082,100.27820485044082,100.27820485044082,0.0,0.0,0.0,187.45351461756405
2025-03-25,84.66414592409403,180.1936242553576,191.916622228288,80.85972581093829,88.30415755104303,101.48361995670442,101.48361995670442,101.48361995670442,101.48361995670442,101.48361995670442,101.48361995670442,0.0,0.0,0.0,186.14776588079843
2025-03-26,82.1529820810648,176.36299954874227,189.160401296908,77.94102692428133,86.24457195063873,100.77320655873838,100.77320655873838,100.77320655873838,100.77320655873838,100.77320655873838,100.77320655873838,0.0,0.0,0.0,182.92618863980317
